# NIfTI图像相关性分析结果
# 图像1: data/drm_data/targetDRM.nii.gz
# 图像2: output/direct_resampling_test/direct_resampling_result.nii.gz
# 掩码类型: 两个图像都非零的像素
# 分析时间: 2025-06-29 23:04:49
# Pearson r: 0.450455
# Pearson p: 1.232510e-20
# Spearman r: 0.383810
# Spearman p: 5.835887e-15
# 有效像素数量: 385
#
Image1,Image2
1.1425645607720427,0.12383760975694341
1.0981296830936542,1.0948371004402861
1.1842668289336615,0.08825198749384894
1.0072219370574078,0.17296268605115306
1.0366288726876376,0.08355554611183129
0.9614497970268533,0.7625838498868183
1.0218815944509814,0.7530943420032505
0.9690846567250596,0.039429474728687124
1.058388502536914,0.36176067938038853
0.9707447262123226,0.14724331098068194
0.9393329789415162,1.283767572579497
0.8728345786848046,0.05927693481295248
0.9306159565422486,0.5461103095291275
0.9782250050857687,0.603387787878185
0.8909204133143398,0.5296816828874998
0.9700900449760048,0.16290614013080237
0.9904978458150384,1.4403856792511376
0.9081154640553988,0.10943165400983526
0.9614332205105104,0.9739546327094291
0.9366769629752442,0.7953576491340313
1.0074049393509492,0.06376365237454654
0.9484425349618617,0.5611725388729794
0.9175476123450126,0.07314905838036682
1.0882738573197108,0.060444434903323956
1.0763373712660427,0.48907520173029134
0.9222582688076222,0.08810981544277072
1.3541099747760958,0.045273156494211465
1.2992921382199365,0.36631954919899323
0.8957057821753089,0.1658587245677397
0.9215382405378953,1.503030156932403
0.9534526095660473,0.12674082610028353
0.93871458361452,1.1462169960911837
0.8536545778771769,1.0857812514453014
1.0678938660005972,0.0067530185355682455
0.7615398682492134,0.059143834652611665
0.6770500143339844,0.03856540553852494
0.8190022037339089,0.023125042166068255
0.8755978920122275,0.09515475269917831
0.6725756378953931,0.8319167382676121
0.6509550100279089,0.5324110190517063
0.7584918815551687,0.33397839894429976
1.0545944007120869,0.7424495015854422
1.0231708387922789,0.08696152942552486
0.8311106479884401,0.7419354210736626
0.7230529284862817,0.34652074542913985
0.7167903995278765,0.3971982950910054
0.9339414689736041,0.8285707636590864
